idx,date,y
375,13,0.0
376,16,1.0
378,18,1.0
379,71,0.0
380,6,0.0
381,44,0.0
382,44,1.0
383,33,0.0
384,14,1.0
386,46,1.0
387,5,0.0
389,1,0.0
390,9,0.0
391,57,1.0
392,7,1.0
393,9,0.0
394,36,0.0
395,28,0.0
396,61,1.0
399,14,0.0
400,47,1.0
401,72,0.0
402,16,0.0
404,25,0.0
406,23,0.0
407,54,1.0
409,62,0.0
411,7,0.0
412,69,1.0
414,26,0.0
415,12,0.0
416,7,0.0
418,55,0.0
419,34,0.0
421,12,0.0
424,55,0.0
425,3,0.0
427,14,0.0
428,42,0.0
429,34,0.0
430,13,0.0
431,70,1.0
433,8,1.0
434,6,0.0
435,36,0.0
437,41,0.0
438,69,0.0
439,6,0.0
440,25,0.0
441,9,0.0
442,10,0.0
444,14,0.0
445,11,0.0
446,24,0.0
447,2,0.0
448,14,1.0
449,68,1.0
450,49,0.0
451,57,0.0
452,13,0.0
453,71,0.0
456,1,0.0
457,13,0.0
458,54,0.0
459,25,0.0
460,7,1.0
462,11,0.0
463,17,0.0
464,70,0.0
465,12,1.0
466,70,0.0
469,1,0.0
470,18,0.0
471,20,0.0
472,57,0.0
473,46,0.0
475,13,1.0
476,8,0.0
479,42,1.0
480,70,0.0
481,71,0.0
482,30,0.0
483,59,1.0
484,10,1.0
485,70,0.0
487,7,0.0
488,41,0.0
491,53,0.0
492,19,0.0
493,45,0.0
494,2,0.0
496,7,0.0
497,70,0.0
498,20,0.0
500,68,0.0
501,10,0.0
502,45,1.0
503,44,0.0
504,12,0.0
505,9,1.0
506,20,0.0
507,1,0.0
508,43,0.0
509,58,1.0
512,30,1.0
513,63,0.0
514,29,1.0
516,70,0.0
517,1,0.0
520,10,0.0
521,8,0.0
522,38,1.0
523,7,0.0
524,6,0.0
525,29,0.0
526,2,1.0
527,10,0.0
528,54,0.0
529,8,0.0
530,69,0.0
531,37,0.0
532,7,0.0
534,66,0.0
535,1,1.0
536,58,0.0
537,39,0.0
538,7,0.0
539,47,1.0
540,32,0.0
541,62,0.0
542,69,0.0
543,10,0.0
544,8,0.0
545,4,0.0
546,66,0.0
547,7,1.0
549,70,1.0
550,72,0.0
551,24,0.0
552,48,0.0
553,7,0.0
554,62,0.0
555,13,0.0
556,8,0.0
557,12,0.0
558,8,0.0
559,6,1.0
560,34,1.0
561,27,0.0
562,44,0.0
563,37,0.0
565,10,0.0
566,63,0.0
567,4,0.0
568,10,0.0
569,5,1.0
570,72,0.0
571,19,1.0
572,7,0.0
573,73,0.0
574,7,0.0
575,61,0.0
576,9,1.0
577,28,0.0
578,5,0.0
579,8,0.0
580,24,0.0
581,8,0.0
583,27,0.0
585,11,0.0
586,55,0.0
587,72,0.0
588,6,0.0
589,20,0.0
590,72,0.0
591,24,0.0
594,19,0.0
597,60,0.0
599,72,0.0
601,7,0.0
602,69,0.0
603,7,1.0
604,7,0.0
606,59,0.0
607,5,0.0
608,2,0.0
610,21,1.0
612,19,0.0
614,48,1.0
615,19,0.0
616,51,0.0
617,50,1.0
618,6,0.0
619,60,1.0
620,45,0.0
621,38,1.0
622,30,1.0
624,23,0.0
625,5,0.0
628,61,0.0
629,57,1.0
630,31,1.0
632,7,0.0
633,9,0.0
634,6,1.0
635,7,0.0
636,36,0.0
637,53,0.0
638,51,0.0
639,9,0.0
640,1,0.0
641,5,0.0
642,5,0.0
643,22,0.0
645,16,1.0
646,29,0.0
647,23,0.0
648,25,0.0
649,41,0.0
650,5,0.0
651,45,1.0
653,4,0.0
654,43,0.0
655,19,0.0
656,12,1.0
657,49,0.0
658,72,1.0
659,33,1.0
660,9,0.0
661,19,1.0
663,28,0.0
664,60,0.0
665,27,0.0
667,69,0.0
669,4,0.0
670,58,0.0
671,66,0.0
673,58,1.0
676,53,0.0
678,13,0.0
680,8,0.0
681,5,0.0
683,52,0.0
684,42,0.0
685,8,0.0
686,34,0.0
687,5,0.0
688,69,0.0
689,17,0.0
690,52,0.0
692,60,0.0
693,10,0.0
694,49,1.0
695,24,0.0
696,8,0.0
697,18,0.0
699,11,0.0
700,28,0.0
701,71,0.0
703,58,0.0
704,4,0.0
705,20,0.0
706,7,0.0
707,58,0.0
708,65,0.0
709,54,0.0
710,32,0.0
712,12,0.0
713,22,0.0
715,6,0.0
719,24,0.0
720,8,0.0
721,59,0.0
723,65,1.0
724,12,1.0
725,45,0.0
726,9,0.0
727,70,1.0
728,45,1.0
729,44,0.0
730,23,1.0
731,13,0.0
732,42,0.0
733,7,0.0
734,29,0.0
736,20,1.0
737,37,0.0
739,40,0.0
740,58,1.0
741,2,0.0
742,1,0.0
743,29,0.0
744,45,0.0
745,60,0.0
746,19,1.0
751,60,0.0
752,2,0.0
753,51,0.0
754,24,0.0
755,4,0.0
756,69,0.0
757,42,0.0
758,17,1.0
760,70,1.0
761,10,0.0
762,1,1.0
764,8,0.0
765,2,0.0
766,61,0.0
767,72,0.0
768,6,0.0
769,57,0.0
771,29,1.0
772,7,0.0
773,9,0.0
775,58,1.0
776,33,0.0
777,35,0.0
778,18,0.0
779,23,0.0
780,53,0.0
781,3,1.0
782,48,0.0
783,53,0.0
784,24,0.0
785,22,1.0
786,18,0.0
787,18,1.0
788,43,0.0
789,3,0.0
791,59,0.0
793,21,0.0
794,12,0.0
796,10,0.0
798,8,0.0
799,8,1.0
800,8,0.0
801,8,0.0
802,11,0.0
803,49,0.0
805,8,0.0
806,69,0.0
807,9,0.0
808,35,1.0
810,36,0.0
811,61,1.0
812,3,0.0
814,10,0.0
815,11,0.0
816,5,0.0
817,8,0.0
818,13,0.0
819,63,0.0
820,44,0.0
822,39,0.0
823,4,0.0
824,58,0.0
825,65,0.0
826,45,0.0
827,29,0.0
828,70,0.0
829,70,0.0
830,61,1.0
832,54,0.0
833,61,0.0
834,3,1.0
835,6,1.0
836,53,0.0
837,11,0.0
838,4,0.0
839,7,0.0
840,40,0.0
841,61,0.0
842,54,0.0
843,3,0.0
845,44,0.0
847,60,0.0
848,38,0.0
849,2,0.0
851,13,0.0
852,5,1.0
854,22,0.0
855,70,0.0
857,4,0.0
858,1,0.0
859,22,0.0
860,32,0.0
861,69,0.0
863,25,0.0
864,5,0.0
865,25,0.0
866,17,0.0
867,59,0.0
868,69,0.0
870,18,1.0
871,49,0.0
872,7,1.0
873,6,0.0
875,1,0.0
876,34,0.0
877,64,0.0
878,19,0.0
879,9,0.0
880,20,0.0
883,46,0.0
884,4,0.0
885,60,1.0
886,23,0.0
887,20,1.0
888,10,0.0
889,6,0.0
890,7,0.0
892,56,0.0
893,18,0.0
894,1,0.0
895,40,0.0
896,69,0.0
898,68,1.0
899,6,0.0
900,11,1.0
901,49,0.0
902,63,0.0
903,72,0.0
904,49,0.0
905,38,0.0
907,60,0.0
908,45,0.0
909,12,0.0
910,51,0.0
912,70,0.0
913,35,0.0
914,13,0.0
915,14,0.0
916,31,1.0
917,7,0.0
919,11,0.0
921,11,1.0
924,10,1.0
925,70,1.0
926,20,0.0
927,41,1.0
928,67,1.0
929,2,0.0
930,69,0.0
931,61,0.0
932,8,0.0
933,14,0.0
934,9,0.0
935,13,1.0
936,23,1.0
937,29,1.0
939,58,0.0
940,14,0.0
941,3,0.0
943,70,1.0
944,8,0.0
945,12,0.0
946,53,0.0
948,3,0.0
949,48,0.0
950,39,0.0
951,25,1.0
952,6,1.0
953,15,1.0
954,7,0.0
955,8,0.0
956,16,0.0
958,23,0.0
959,8,0.0
960,15,0.0
961,36,0.0
962,8,0.0
963,3,0.0
964,20,0.0
965,47,0.0
967,34,0.0
968,69,1.0
969,9,1.0
970,7,0.0
971,42,0.0
973,65,0.0
974,5,0.0
975,69,0.0
976,8,0.0
977,69,0.0
978,25,0.0
979,73,0.0
982,33,0.0
984,72,1.0
985,65,1.0
986,40,1.0
987,43,0.0
989,1,0.0
991,11,0.0
993,30,0.0
994,8,0.0
995,3,0.0
996,48,0.0
998,58,0.0
999,14,1.0
1000,7,0.0
1002,10,1.0
1004,10,0.0
1005,10,0.0
1006,10,0.0
1007,18,1.0
1008,34,0.0
1009,9,0.0
1010,7,0.0
1011,54,0.0
1012,32,1.0
1013,8,0.0
1014,11,0.0
1015,41,1.0
1016,24,0.0
1017,2,1.0
1018,5,0.0
1019,16,0.0
1020,6,0.0
1021,54,0.0
1022,8,0.0
1023,6,0.0
1025,13,1.0
1026,9,1.0
1027,6,1.0
1028,5,0.0
1029,69,0.0
1030,8,0.0
1033,43,0.0
1034,14,0.0
1035,15,0.0
1036,67,0.0
1037,14,0.0
1038,59,0.0
1039,35,0.0
1040,31,0.0
1041,51,0.0
1045,70,0.0
1046,39,0.0
1047,10,0.0
1048,71,0.0
1049,10,0.0
1051,57,0.0
1054,5,1.0
1055,19,0.0
1057,5,1.0
1058,1,0.0
1059,6,0.0
1060,39,0.0
1061,60,0.0
1062,6,0.0
1063,12,0.0
1064,51,1.0
1065,9,0.0
1066,30,1.0
1067,6,0.0
1068,57,1.0
1069,9,0.0
1070,3,1.0
1071,73,0.0
1073,4,0.0
1074,69,0.0
1075,70,0.0
1076,15,0.0
1079,61,0.0
1080,8,0.0
1081,53,0.0
1082,5,1.0
1084,51,1.0
1085,29,0.0
1086,27,1.0
1087,3,0.0
1089,31,0.0
1090,43,0.0
1091,1,1.0
1092,14,0.0
1094,3,0.0
1095,26,1.0
1096,36,0.0
1097,5,0.0
1098,7,0.0
1100,70,0.0
1101,19,0.0
1102,3,0.0
1103,61,0.0
1104,19,0.0
1105,2,0.0
1107,58,0.0
1108,8,0.0
1111,52,0.0
1112,62,1.0
1114,36,0.0
1115,71,0.0
1116,68,1.0
1117,53,0.0
1118,70,0.0
1119,34,0.0
1120,1,1.0
1122,12,1.0
1123,18,0.0
1124,6,1.0
1126,71,0.0
1127,69,0.0
1128,8,0.0
1129,1,0.0
1130,20,0.0
1131,9,0.0
1133,12,0.0
1134,70,1.0
1135,37,0.0
1137,8,0.0
1138,73,1.0
1141,46,1.0
1142,20,0.0
1143,48,1.0
1144,12,0.0
1145,34,0.0
1146,34,0.0
1147,41,0.0
1148,1,0.0
1149,4,0.0
1150,9,0.0
1151,16,0.0
1152,30,0.0
1153,63,0.0
1154,13,1.0
1157,33,0.0
1158,14,0.0
1159,20,1.0
1160,16,0.0
1161,15,0.0
1162,63,0.0
1163,56,0.0
1164,52,0.0
1165,48,1.0
1166,71,0.0
1167,50,0.0
1168,7,1.0
1169,2,0.0
1170,65,0.0
1172,31,0.0
1173,20,0.0
1176,23,1.0
1177,6,0.0
1179,71,0.0
1180,69,0.0
1182,7,0.0
1183,44,0.0
1184,8,0.0
1185,49,0.0
1186,19,1.0
1187,10,0.0
1188,57,1.0
1189,52,0.0
1190,4,0.0
1191,22,0.0
1192,23,0.0
1193,42,0.0
1194,5,0.0
1195,19,0.0
1196,51,0.0
1197,10,0.0
1198,16,0.0
1199,5,0.0
1200,70,0.0
1201,59,1.0
1202,7,0.0
1204,46,1.0
1206,50,0.0
1207,14,0.0
1208,8,0.0
1209,48,0.0
1210,44,0.0
1211,9,0.0
1212,2,0.0
1213,9,0.0
1214,12,0.0
1215,17,0.0
1218,8,1.0
1219,22,0.0
1220,39,0.0
1221,59,1.0
1222,15,0.0
1223,18,1.0
1224,19,0.0
1225,8,1.0
1226,72,0.0
1228,66,0.0
1229,70,0.0
1231,15,1.0
1232,48,0.0
1235,9,1.0
1236,10,0.0
1238,6,1.0
1239,65,0.0
1240,7,0.0
1241,37,0.0
1242,20,1.0
1243,14,0.0
1244,70,0.0
1246,35,0.0
1247,10,0.0
1248,48,0.0
1249,7,0.0
1250,24,1.0
1251,30,0.0
1252,8,1.0
1253,71,0.0
1254,70,1.0
1255,8,0.0
1256,7,0.0
1257,64,0.0
1258,30,0.0
1259,8,0.0
1261,72,0.0
1262,54,0.0
1263,44,0.0
1264,34,0.0
1266,44,0.0
1267,61,1.0
1269,5,0.0
1270,10,0.0
1271,9,0.0
1273,47,0.0
1274,37,1.0
1275,3,0.0
1278,23,0.0
1279,11,1.0
1280,2,1.0
1281,4,0.0
1282,5,0.0
1283,48,0.0
1284,21,1.0
1285,19,0.0
1286,17,0.0
1288,24,1.0
1289,12,0.0
1290,36,0.0
1292,31,0.0
1293,5,0.0
1294,73,0.0
1295,38,0.0
1296,20,0.0
1297,70,0.0
1298,67,0.0
1299,10,1.0
1300,22,1.0
1301,59,0.0
1303,23,0.0
1304,6,0.0
1305,47,0.0
1306,37,0.0
1309,12,0.0
1310,8,0.0
1311,57,0.0
1312,32,0.0
1313,73,0.0
1314,25,0.0
1315,19,0.0
1316,60,0.0
1317,25,0.0
1318,59,0.0
1319,7,0.0
1320,71,1.0
1321,19,0.0
1323,22,0.0
1324,9,0.0
1328,36,0.0
1329,34,0.0
1330,3,1.0
1331,63,1.0
1332,22,0.0
1333,56,1.0
1335,4,0.0
1336,13,0.0
1337,3,0.0
1338,21,0.0
1339,4,0.0
1341,36,0.0
1342,50,0.0
1343,8,0.0
1345,4,0.0
1346,6,0.0
1348,53,0.0
1350,60,0.0
1351,71,0.0
1352,72,0.0
1354,66,0.0
1355,3,1.0
1360,44,0.0
1361,55,0.0
1362,69,1.0
1363,57,0.0
1364,16,0.0
1365,4,0.0
1369,53,0.0
1370,7,0.0
1372,44,1.0
1373,5,0.0
1374,13,0.0
1375,12,0.0
1378,8,0.0
1379,19,0.0
1381,22,0.0
1382,35,0.0
1383,13,0.0
1384,18,0.0
1385,35,0.0
1386,64,1.0
1387,37,0.0
1388,66,0.0
1390,17,0.0
1391,37,1.0
1392,70,0.0
1393,35,0.0
1394,9,0.0
1395,21,0.0
1396,23,0.0
1399,8,0.0
1400,41,1.0
1401,12,0.0
1402,34,0.0
1403,5,0.0
1404,2,1.0
1405,40,1.0
1407,54,0.0
1408,69,0.0
1409,8,0.0
1410,14,0.0
1411,20,0.0
1413,14,0.0
1414,23,0.0
1415,37,0.0
1417,8,0.0
1418,7,0.0
1419,65,0.0
1420,4,0.0
1421,55,0.0
1422,4,0.0
1423,31,1.0
1424,68,0.0
1425,5,0.0
1427,46,0.0
1428,6,0.0
1429,70,0.0
1430,10,0.0
1431,10,0.0
1432,47,0.0
1433,5,0.0
1434,63,0.0
1435,6,0.0
1437,5,0.0
1438,12,0.0
1439,68,0.0
1441,63,0.0
1442,69,0.0
1443,12,0.0
1444,2,0.0
1445,7,0.0
1446,4,0.0
1449,7,0.0
1450,4,1.0
1451,10,0.0
1452,4,0.0
1453,11,0.0
1454,56,0.0
1455,20,0.0
1456,14,0.0
1457,19,0.0
1458,20,0.0
1459,71,0.0
1460,21,0.0
1461,18,1.0
1462,69,0.0
1463,72,0.0
1464,45,1.0
1465,54,0.0
1466,9,0.0
1467,39,1.0
1468,7,1.0
1469,6,0.0
1470,53,1.0
1471,19,0.0
1472,25,1.0
1473,49,0.0
1474,59,1.0
1475,25,0.0
1476,65,0.0
1477,2,0.0
1479,7,0.0
1481,26,0.0
1482,50,1.0
1483,64,0.0
1484,53,0.0
1485,1,1.0
1487,70,0.0
1488,37,0.0
1489,28,0.0
1490,68,0.0
1491,43,0.0
1492,8,0.0
1493,72,1.0
1494,37,1.0
1495,6,0.0
1496,19,0.0
1497,36,0.0
1498,6,0.0
1499,9,1.0
1500,62,0.0
1501,15,1.0
1502,47,0.0
1503,55,0.0
1504,73,0.0
1505,21,0.0
1507,8,0.0
1508,6,1.0
1510,46,0.0
1511,8,0.0
1512,21,1.0
1513,20,0.0
1514,27,1.0
1517,2,0.0
1518,25,0.0
1519,16,0.0
1520,37,0.0
1522,68,0.0
1523,23,0.0
1524,69,1.0
1525,39,0.0
1526,12,0.0
1527,8,1.0
1528,59,0.0
1529,10,0.0
1530,16,0.0
1531,23,0.0
1532,18,1.0
1534,15,1.0
1535,9,1.0
1536,8,1.0
1537,5,1.0
1538,16,0.0
1539,10,0.0
1540,10,0.0
1541,61,0.0
1542,19,0.0
1543,24,0.0
1544,69,0.0
1545,25,1.0
1546,7,0.0
1548,5,0.0
1549,71,0.0
1550,45,0.0
1553,26,0.0
1554,34,1.0
1555,36,0.0
1556,55,0.0
1557,46,0.0
1558,33,0.0
1559,8,0.0
1560,6,0.0
1561,6,1.0
1562,18,0.0
1563,49,0.0
1564,23,0.0
1566,6,1.0
1567,60,0.0
1569,5,0.0
1571,7,1.0
1572,7,0.0
1573,71,0.0
1574,34,1.0
1575,55,1.0
1578,6,0.0
1579,67,0.0
1580,5,0.0
1581,18,0.0
1582,61,0.0
1584,36,0.0
1586,27,0.0
1587,7,0.0
1588,39,0.0
1589,50,0.0
1590,66,0.0
1591,61,0.0
1593,71,1.0
1594,66,1.0
1595,63,0.0
1596,14,0.0
1597,9,1.0
1598,47,0.0
1599,4,0.0
1600,5,0.0
1601,18,0.0
1602,11,0.0
1603,1,0.0
1605,9,0.0
1606,69,0.0
1607,9,0.0
1608,62,0.0
1609,28,1.0
1610,49,0.0
1611,8,0.0
1613,43,0.0
1615,60,0.0
1616,10,0.0
1617,6,0.0
1618,41,0.0
1620,6,0.0
1621,41,0.0
1622,13,0.0
1623,61,1.0
1624,49,0.0
1625,67,0.0
1626,35,0.0
1627,49,0.0
1628,10,1.0
1629,70,0.0
1631,5,1.0
1632,46,0.0
1633,51,0.0
1634,54,0.0
1635,5,0.0
1636,68,0.0
1637,9,0.0
1638,8,0.0
1639,39,0.0
1640,52,0.0
1641,11,0.0
1642,14,0.0
1643,69,0.0
1644,56,0.0
1645,23,0.0
1646,6,0.0
1647,21,1.0
1648,4,0.0
1649,8,0.0
1650,23,1.0
1651,12,0.0
1652,71,1.0
1654,25,0.0
1655,1,0.0
1656,31,0.0
1657,73,0.0
1658,23,0.0
1659,44,0.0
1660,7,0.0
1661,7,0.0
1662,1,1.0
1663,23,0.0
1664,27,0.0
1665,69,1.0
1666,71,1.0
1667,2,0.0
1668,18,0.0
1670,41,0.0
1671,7,1.0
1672,10,0.0
1673,40,1.0
1674,59,0.0
1675,14,1.0
1677,52,0.0
1678,71,0.0
1679,38,0.0
1681,6,1.0
1682,25,0.0
1683,29,1.0
1684,11,1.0
1685,16,0.0
1689,8,1.0
1690,7,0.0
1691,5,0.0
1692,3,1.0
1693,59,0.0
1694,7,0.0
1695,19,1.0
1696,56,0.0
1697,23,1.0
1698,14,0.0
1699,19,0.0
1700,34,1.0
1701,26,0.0
1702,72,0.0
1703,22,0.0
1705,8,0.0
1706,9,0.0
1707,56,0.0
1708,3,0.0
1709,62,0.0
1710,59,0.0
1711,22,0.0
1712,40,0.0
1713,8,1.0
1715,6,1.0
1716,39,0.0
1718,12,0.0
1720,67,0.0
1722,5,0.0
1723,7,0.0
1724,26,0.0
1725,28,0.0
1727,12,0.0
1728,52,0.0
1730,52,0.0
1733,13,1.0
1734,2,1.0
1735,7,0.0
1736,56,0.0
1737,26,1.0
1738,1,1.0
1739,59,0.0
1740,34,1.0
1741,2,0.0
1742,23,0.0
1743,14,0.0
1744,46,0.0
1745,17,0.0
1746,2,0.0
1747,68,1.0
1748,53,0.0
1749,5,0.0
1750,7,0.0
1751,72,0.0
1752,7,1.0
1753,6,0.0
1754,6,0.0
1755,63,0.0
1756,63,0.0
1757,16,1.0
1759,1,1.0
1763,29,0.0
1764,17,0.0
1765,4,0.0
1766,37,0.0
1768,15,0.0
1769,23,0.0
1770,51,0.0
1772,48,1.0
1773,49,0.0
1774,3,0.0
1775,13,0.0
1776,70,0.0
1777,8,0.0
1779,59,0.0
1780,7,0.0
1781,8,0.0
1782,44,0.0
1783,55,1.0
1785,29,1.0
1786,22,0.0
1787,20,0.0
1788,70,0.0
1789,64,0.0
1791,5,0.0
1792,18,0.0
1793,3,0.0
1794,4,0.0
1795,17,0.0
1796,7,0.0
1799,10,0.0
1801,18,0.0
1803,16,0.0
1804,31,0.0
1805,6,0.0
1807,48,0.0
1808,22,0.0
1809,44,0.0
1810,8,0.0
1811,37,0.0
1812,6,0.0
1813,8,1.0
1814,20,0.0
1815,22,0.0
1816,5,0.0
1817,38,0.0
1818,53,0.0
1822,10,1.0
1823,47,0.0
1824,41,0.0
1826,18,0.0
1827,10,1.0
1828,53,0.0
1830,6,0.0
1831,7,0.0
1832,49,1.0
1833,60,0.0
1835,20,0.0
1836,4,1.0
1837,71,0.0
1838,36,0.0
1839,3,0.0
1841,5,1.0
1842,53,1.0
1843,60,1.0
1844,18,1.0
1845,37,1.0
1846,17,0.0
1847,61,1.0
1848,55,0.0
1849,18,0.0
1850,73,0.0
1851,63,1.0
1852,61,0.0
1853,70,0.0
1854,58,1.0
1855,71,0.0
1856,10,0.0
1857,24,1.0
1858,59,0.0
1859,41,0.0
1860,46,0.0
1862,29,0.0
1863,18,0.0
1864,22,0.0
1865,16,0.0
1866,60,0.0
1867,10,0.0
1868,19,0.0
1869,1,0.0
1870,3,0.0
1871,5,0.0
1872,7,0.0
1873,12,0.0
1874,43,0.0
1875,71,0.0
1876,55,0.0
1877,61,0.0
1878,60,0.0
1879,9,0.0
1881,34,0.0
1882,15,0.0
1883,5,0.0
1884,1,1.0
1885,7,0.0
1886,50,0.0
1887,5,0.0
1889,3,0.0
1890,26,0.0
1891,45,1.0
1892,5,0.0
1893,39,0.0
1894,44,0.0
1895,6,0.0
1896,29,1.0
1897,35,0.0
1898,5,0.0
1899,54,1.0
1900,66,0.0
1903,69,0.0
1904,69,0.0
1905,7,0.0
1906,51,0.0
1907,19,1.0
1908,16,0.0
1909,29,0.0
1910,73,0.0
1912,65,0.0
1913,18,0.0
1914,26,0.0
1915,35,0.0
1916,41,1.0
1917,12,0.0
1918,20,0.0
1919,7,0.0
1921,20,0.0
1922,50,0.0
1923,44,0.0
1924,6,0.0
1925,32,1.0
1927,7,0.0
1928,65,0.0
1929,37,0.0
1930,60,0.0
1931,72,0.0
1932,50,0.0
1933,41,0.0
1934,25,1.0
1935,2,0.0
1936,70,1.0
1937,33,0.0
1938,26,0.0
1939,53,0.0
1940,71,0.0
1941,38,1.0
1942,41,0.0
1944,73,0.0
1945,7,0.0
1946,2,0.0
1947,1,1.0
1948,18,0.0
1950,43,0.0
1951,10,1.0
1952,52,1.0
1953,19,0.0
1954,72,0.0
1955,41,1.0
1956,49,0.0
1957,23,0.0
1958,7,1.0
1960,36,0.0
1961,47,1.0
1962,23,0.0
1963,10,0.0
1964,7,0.0
1965,37,0.0
1966,18,0.0
1967,9,0.0
1968,70,0.0
1969,8,0.0
1971,11,0.0
1972,7,0.0
1973,62,0.0
1975,47,0.0
1976,33,0.0
1977,13,0.0
1979,6,1.0
1980,6,0.0
1981,23,0.0
1982,32,0.0
